Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,Magnitude,Final_X,Final_Y,Final_Z
Abheri,https://raagtime.com/ragas/abheri,09-12,S - g - m - P - n - S',S' - n - d - P - m - g - R - S,True,False,True,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,,7,0.0,4.0,3.0
Abhogi,https://raagtime.com/ragas/abhogi,21-24,S - R - g - m - D - S',S' - D - m - g - D - g - m - R - S,True,False,True,True,False,True,False,False,False,True,False,False,raagtime_Raw_Data.csv,,,,,,,5,0.0,4.0,1.0
Adana,https://raagtime.com/ragas/adana,24-03,S - R - m - P - d - n - S',"S' - d~ - n - P, m - P - g~ - m - R - S",True,False,True,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,,7,0.0,4.0,3.0
Ahiri,https://raagtime.com/ragas/ahiri,06-09,S - r - g - m - P - D - n - S',S' - n - D - P - m - g - r - S,True,True,False,True,False,True,False,True,False,True,True,False,raagtime_Raw_Data.csv,,,,,,,7,0.0,4.0,3.0
Amrit Varshini,https://raagtime.com/ragas/amrit-varshini,18-21,S - G - M - P - N - S',S' - N - P - M - G - S,True,False,False,False,True,False,True,True,False,False,False,True,raagtime_Raw_Data.csv,,,,,,,5,1.0,4.0,0.0
Anand Leela,https://raagtime.com/ragas/anand-leela,06-09,S - R - G - m - P - N - S',S' - N - d - P - m - G - R - S,True,False,True,False,True,True,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,,7,0.0,6.0,1.0
Araj,https://raagtime.com/ragas/araj,06-09,"S - r - G, m - P - m - P, D - n - S'","S - r' - S - N, D - P - m - G, r - S",True,True,False,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,,8,0.0,6.0,2.0
Asa,https://raagtime.com/ragas/asa,21-24,S - R - m - P - D - S',S' - N - D - P - m - G - R - S,True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,,7,0.0,7.0,0.0
Asavari,https://raagtime.com/ragas/asavari,09-12,S - R - m - P - d - S',S' - n - d - P - m - g - R - S,True,False,True,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,,7,0.0,4.0,3.0
"Asavari, Jogi",https://raagtime.com/ragas/asavari-jogi,09-12,S - r - m - P - d - S',"S' - R - n - d - P, d - P - m - G - (m)r - S",True,True,True,False,True,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,,8,0.0,5.0,3.0
